,dt,code,m30
0,20230701,20,1.0855349021532632
1,20230701,40,0.886046796703911
2,20230701,50,0.958958290635989
3,20230701,70,1.0295647593719766
4,20230701,75,0.9874959438512516
5,20230701,80,0.9445407960958776
6,20230701,87,0.9715589157419594
7,20230701,100,1.0212752564709002
8,20230701,105,1.002254798770015
9,20230701,120,0.9397419460008032
10,20230701,140,0.9652795071800004
11,20230701,145,0.9779898239618084
12,20230701,150,0.9349317142498974
13,20230701,155,0.9297468851899428
14,20230701,157,0.9230380002787464
15,20230701,180,1.0966864913769183
16,20230701,210,0.9054038837284252
17,20230701,215,0.8908910628966059
18,20230701,220,0.8852545704496331
19,20230701,225,0.9302492506348976
20,20230701,227,0.9392191738921056
21,20230701,230,0.7623363847285385
22,20230701,240,0.992373825298412
23,20230701,250,0.9085520320572676
24,20230701,270,1.0336089085395537
25,20230701,300,1.2466299204927729
26,20230701,320,1.0254286827266292
27,20230701,325,1.0301940807979926
28,20230701,370,0.9280945305640972
29,20230701,390,1.018214280238225
30,20230701,400,1.0013831045898187
31,20230701,430,1.0469156006272204
32,20230701,440,0.9901916043036708
33,20230701,480,2.681425873963797
34,20230701,490,1.0565970676011804
35,20230701,500,1.1056906323315048
36,20230701,520,1.099333391458774
37,20230701,540,0.982518146162854
38,20230701,545,1.0015926804623894
39,20230701,547,0.5505666193229246
40,20230701,590,0.9672658804283044
41,20230701,640,1.022083910883994
42,20230701,650,0.9893647424399172
43,20230701,660,1.064530570052579
44,20230701,670,1.0900921481487609
45,20230701,680,0.9713432113909743
46,20230701,700,0.9168696429555606
47,20230701,720,1.0004898179283097
48,20230701,725,0.8801438675114334
49,20230701,760,0.7955232952800105
50,20230701,810,1.0228574576723748
51,20230701,815,1.0200662606036643
52,20230701,850,1.0631787513336617
53,20230701,860,0.9988434626155204
54,20230701,880,0.9863407822201647
55,20230701,885,0.9327273165893052
57,20230701,890,0.9969494579158203
58,20230701,910,0.8932708722259197
59,20230701,950,0.8541693924052945
60,20230701,970,1.0277291576576335
61,20230701,990,1.0504147098333216
62,20230701,995,0.4307702671092289
63,20230701,1000,0.9932140533177432
64,20230701,1020,1.1000006257468216
65,20230701,1040,0.7738759991019329
66,20230701,1045,0.8866949411709577
68,20230701,1060,1.0078741827735722
69,20230701,1065,0.92929257422787
70,20230701,1067,0.9469630527575796
71,20230701,1070,0.7550974617953939
72,20230701,1080,0.7354299870347086
73,20230701,1120,1.2040311218591335
74,20230701,1130,0.955606044740292
75,20230701,1140,0.9384536734517528
76,20230701,1200,1.207560893686501
77,20230701,1210,1.3822444359007866
78,20230701,1230,2.033230573212344
79,20230701,1250,0.9731868028696992
80,20230701,1260,1.035886959817692
81,20230701,1270,1.049053101440525
82,20230701,1275,1.0072226940130309
83,20230701,1290,1.0364147265095904
84,20230701,1340,1.1383398803560192
85,20230701,1360,0.8973153496151913
86,20230701,1380,0.9964761973777928
87,20230701,1390,1.3221139460897733
88,20230701,1420,0.873710299976492
89,20230701,1430,1.0731569065690347
90,20230701,1440,0.9988534191395316
91,20230701,1450,0.94900598052545
92,20230701,1460,0.9587641096651044
93,20230701,1465,0.9931071131819968
94,20230701,1470,1.6229318566530562
95,20230701,1500,0.9757969505353136
96,20230701,1510,0.9693285345813824
97,20230701,1515,0.9857161790868484
98,20230701,1520,1.0029239738723457
99,20230701,1525,1.0156251687132465
100,20230701,1527,0.9915352922198502
101,20230701,1530,1.01595547178671
102,20230701,1540,0.9925118524793994
103,20230701,1550,0.9752538842126538
104,20230701,1560,0.8347295916405191
105,20230701,1570,1.1132013292825609
106,20230701,1620,0.920179353192908
107,20230701,1630,0.9716130563253996
108,20230701,1680,0.9224683350005286
109,20230701,1685,0.9625137225856606
110,20230701,1720,1.0421782911037023
111,20230701,1725,0.9966477420570928
112,20230701,1740,1.0570401198428074
113,20230701,1745,0.5115881103235915
114,20230701,1750,1.024088953607495
115,20230701,1755,1.0162541177733102
116,20230701,1770,0.9349928202318482
117,20230701,1780,1.3659028393641304
118,20230701,1790,0.987793327769736
119,20230701,1795,0.951671682479796
120,20230701,1800,0.9651596562008494
121,20230701,1810,0.9900788355289444
122,20230701,1820,0.9597390324686303
123,20230701,1840,1.050766629924271
124,20230701,1880,1.0084175819935683
125,20230701,1940,0.990865327099072
126,20230701,2020,0.9928277266939984
127,20230701,2025,0.9991576619340188
128,20230701,2030,0.9531951437441788
129,20230701,2070,1.1442874570878945
130,20230701,2100,0.9931709531092028
131,20230701,2140,1.0013139120459384
132,20230701,2150,1.0817979396834343
133,20230701,2170,1.0024340445814788
134,20230701,2200,0.9025278276449912
135,20230701,2210,1.037442901749926
136,20230701,2220,1.023196036002605
137,20230701,2230,0.9850436125810712
138,20230701,2240,1.0311295406872911
139,20230701,2290,0.9328702513586394
140,20230701,2310,1.02757742943085
141,20230701,2320,0.9962440981952112
142,20230701,2350,1.0100931392465398
143,20230701,2355,1.0146357890261457
144,20230701,2360,0.9434048839131888
145,20230701,2380,0.9445695370840836
146,20230701,2390,0.941770076347599
147,20230701,2410,0.9882487062210392
148,20230701,2420,0.9445737065174756
149,20230701,2450,0.9757274674670604
150,20230701,2460,1.0173657983111692
151,20230701,2600,0.9912413252338192
152,20230701,2620,0.9223822301470588
153,20230701,2630,1.0456374282246843
154,20230701,2680,0.9131501269200912
155,20230701,2690,0.9995232613120684
156,20230701,2700,0.9359826301596804
157,20230701,2710,1.021557542900971
158,20230701,2720,0.9681125058221488
159,20230701,2760,0.9892888979932788
160,20230701,2780,1.0375553190898827
161,20230701,2785,0.9986002290661272
