"dt","code","m30","m30_rank","N","name","OIGR","OIGR_rank","PBR","PBR_rank","PER","PER_rank","ROA","ROA_rank","ROE","ROE_rank","RR","RR_rank","sector","sector_pbr","sector_per","total_rank"
"20230601","006120","1.127213149704829","146.0","281","SK디스커버리","387.09","23.0","0.24","3.0","1.79","2.0","5.72","147.0","16.34","64.0","3432.8","55.0","석유와가스","0.525","14.73","440.0"
"20230601","007340","1.0920842470469465","224.0","254","DN오토모티브","370.22","24.0","0.73","96.0","3.6","22.0","6.09","141.0","22.81","39.0","23085.5","2.0","자동차부품","0.8080769230769231","41.617692307692316","548.0"
"20230601","007860","1.1263288100260422","151.0","599","서연","125.36","62.0","0.34","16.0","2.69","6.0","4.44","180.0","13.14","105.5","4537.4","41.0","자동차부품","0.8080769230769231","41.617692307692316","561.5"
"20230601","013310","1.52807043016591","17.0","413","아진산업","232.98","37.0","0.81","121.0","4.61","31.0","5.14","163.0","14.49","85.0","1125.6","186.0","자동차부품","0.8080769230769231","41.617692307692316","640.0"
"20230601","018500","1.323590866652435","31.0","1053","동원금속","1102.99","7.0","0.77","110.0","2.88","9.0","4.9","171.0","48.51","6.0","146.7","305.0","자동차부품","0.8080769230769231","41.617692307692316","639.0"
"20230601","035080","1.4368284095718753","20.0","273","그래디언트","486.16","18.0","0.48","33.5","0.92","1.0","19.8","9.0","74.59","1.0","1344.4","157.0","인터넷과카탈로그소매","1.855","11.22","239.5"
"20230601","043370","1.2392217147109565","49.0","420","피에이치에이","247.39","34.0","0.31","12.5","5.28","39.0","2.92","230.0","4.29","247.0","6229.4","19.0","자동차부품","0.8080769230769231","41.617692307692316","630.5"
"20230601","053610","1.1453420664426863","124.0","260","프로텍","19.34","171.0","0.92","148.5","8.53","101.0","13.78","37.0","16.69","62.0","5456.6","26.0","반도체와반도체장비","2.0883098591549296","22.310422535211266","669.5"
"20230601","078350","1.370472423257192","25.0","430","한양디지텍","75.98","94.0","1.68","255.0","6.81","66.0","18.5","15.0","36.12","8.0","1510.6","142.0","반도체와반도체장비","2.0883098591549296","22.310422535211266","605.0"
"20230601","086710","1.3535082010015","26.0","874","선진뷰티사이언스","43.73","127.0","1.51","241.5","4.99","35.0","16.53","25.0","35.37","10.0","986.1","201.0","화장품","1.9345454545454546","60.79909090909091","665.5"
"20230601","092870","1.1790027043135944","83.0","775","엑시콘","63.23","107.0","0.78","112.0","7.41","79.0","9.42","73.0","10.97","127.0","2666.7","81.0","반도체와반도체장비","2.0883098591549296","22.310422535211266","662.0"
"20230601","119850","1.2405670702663971","48.0","958","지엔씨에너지","'-11.84","236.0","0.76","106.0","3.3","16.0","15.47","29.0","26.32","21.0","1294.2","166.0","전기장비","0.7000000000000001","14.176666666666668","622.0"
"20230601","180640","1.2704509398447852","43.0","93","한진칼","245.93","36.0","1.33","218.0","5.27","38.0","17.2","23.0","33.64","13.0","948.6","206.0","항공사","1.1","4.35","577.0"
"20230601","200880","1.347478176495143","27.0","341","서연이화","128.41","60.0","0.66","81.5","6.45","59.0","3.25","220.0","8.03","177.0","4874.1","38.0","자동차부품","0.8080769230769231","41.617692307692316","662.5"
"20230601","225590","1.1212188451765153","168.0","1456","패션플랫폼","100.62","77.0","0.58","59.0","4.14","26.0","11.28","50.0","15.58","74.0","2512.2","89.0","""섬유,의류,신발,호화품""","1.3925","14.2025","543.0"
"20230601","241770","1.0720892130502233","303.0","765","메카로","2.23","199.0","0.62","72.5","2.77","7.0","22.92","5.0","25.72","25.0","3705.3","49.0","반도체와반도체장비","2.0883098591549296","22.310422535211266","660.5"
"20230601","297890","1.1913933488458206","69.0","310","HB솔루션","3962.06","1.0","1.81","273.5","5.97","51.0","23.34","3.0","35.32","11.0","1864.9","120.0","디스플레이장비및부품","1.6441176470588235","30.194705882352938","528.5"
"20230601","353200","1.185101885171802","71.0","186","대덕전자","220.87","39.0","1.57","245.0","8.39","95.0","17.25","22.0","23.94","37.0","3215.6","63.0","전자장비와기기","2.074333333333333","21.241333333333333","572.0"
"20230601","356860","1.168403373940258","94.0","424","티엘비","187.47","44.0","1.96","282.5","8.87","109.0","21.07","7.0","31.25","16.0","2181.8","109.0","반도체와반도체장비","2.0883098591549296","22.310422535211266","661.5"
"20230601","417500","1.7476485963942507","5.0","1344","제이아이테크","102.43","74.0","3.13","322.0","15.12","191.0","18.12","17.0","25.55","27.0","7403.9","13.0","반도체와반도체장비","2.0883098591549296","22.310422535211266","649.0"
